"region","hustyp","bostadsarea","år","Antal"
"Håbo","småhus","< 31 kvm","2013",7
"Håbo","småhus","< 31 kvm","2014",7
"Håbo","småhus","< 31 kvm","2015",8
"Håbo","småhus","< 31 kvm","2016",7
"Håbo","småhus","< 31 kvm","2017",8
"Håbo","småhus","< 31 kvm","2018",28
"Håbo","småhus","< 31 kvm","2019",29
"Håbo","småhus","< 31 kvm","2020",33
"Håbo","småhus","< 31 kvm","2021",33
"Håbo","småhus","< 31 kvm","2022",31
"Håbo","småhus","< 31 kvm","2023",31
"Håbo","småhus","< 31 kvm","2024",32
"Håbo","småhus","31-40 kvm","2013",43
"Håbo","småhus","31-40 kvm","2014",48
"Håbo","småhus","31-40 kvm","2015",50
"Håbo","småhus","31-40 kvm","2016",55
"Håbo","småhus","31-40 kvm","2017",56
"Håbo","småhus","31-40 kvm","2018",58
"Håbo","småhus","31-40 kvm","2019",58
"Håbo","småhus","31-40 kvm","2020",59
"Håbo","småhus","31-40 kvm","2021",61
"Håbo","småhus","31-40 kvm","2022",61
"Håbo","småhus","31-40 kvm","2023",63
"Håbo","småhus","31-40 kvm","2024",63
"Håbo","småhus","41-50 kvm","2013",71
"Håbo","småhus","41-50 kvm","2014",70
"Håbo","småhus","41-50 kvm","2015",71
"Håbo","småhus","41-50 kvm","2016",70
"Håbo","småhus","41-50 kvm","2017",84
"Håbo","småhus","41-50 kvm","2018",91
"Håbo","småhus","41-50 kvm","2019",96
"Håbo","småhus","41-50 kvm","2020",96
"Håbo","småhus","41-50 kvm","2021",95
"Håbo","småhus","41-50 kvm","2022",103
"Håbo","småhus","41-50 kvm","2023",104
"Håbo","småhus","41-50 kvm","2024",109
"Håbo","småhus","51-60 kvm","2013",132
"Håbo","småhus","51-60 kvm","2014",126
"Håbo","småhus","51-60 kvm","2015",126
"Håbo","småhus","51-60 kvm","2016",132
"Håbo","småhus","51-60 kvm","2017",135
"Håbo","småhus","51-60 kvm","2018",139
"Håbo","småhus","51-60 kvm","2019",136
"Håbo","småhus","51-60 kvm","2020",140
"Håbo","småhus","51-60 kvm","2021",134
"Håbo","småhus","51-60 kvm","2022",141
"Håbo","småhus","51-60 kvm","2023",141
"Håbo","småhus","51-60 kvm","2024",139
"Håbo","småhus","61-70 kvm","2013",185
"Håbo","småhus","61-70 kvm","2014",179
"Håbo","småhus","61-70 kvm","2015",184
"Håbo","småhus","61-70 kvm","2016",188
"Håbo","småhus","61-70 kvm","2017",189
"Håbo","småhus","61-70 kvm","2018",189
"Håbo","småhus","61-70 kvm","2019",191
"Håbo","småhus","61-70 kvm","2020",189
"Håbo","småhus","61-70 kvm","2021",190
"Håbo","småhus","61-70 kvm","2022",193
"Håbo","småhus","61-70 kvm","2023",188
"Håbo","småhus","61-70 kvm","2024",189
"Håbo","småhus","71-80 kvm","2013",311
"Håbo","småhus","71-80 kvm","2014",315
"Håbo","småhus","71-80 kvm","2015",329
"Håbo","småhus","71-80 kvm","2016",333
"Håbo","småhus","71-80 kvm","2017",338
"Håbo","småhus","71-80 kvm","2018",358
"Håbo","småhus","71-80 kvm","2019",361
"Håbo","småhus","71-80 kvm","2020",363
"Håbo","småhus","71-80 kvm","2021",365
"Håbo","småhus","71-80 kvm","2022",371
"Håbo","småhus","71-80 kvm","2023",368
"Håbo","småhus","71-80 kvm","2024",371
"Håbo","småhus","81-90 kvm","2013",279
"Håbo","småhus","81-90 kvm","2014",282
"Håbo","småhus","81-90 kvm","2015",281
"Håbo","småhus","81-90 kvm","2016",281
"Håbo","småhus","81-90 kvm","2017",285
"Håbo","småhus","81-90 kvm","2018",286
"Håbo","småhus","81-90 kvm","2019",292
"Håbo","småhus","81-90 kvm","2020",291
"Håbo","småhus","81-90 kvm","2021",313
"Håbo","småhus","81-90 kvm","2022",319
"Håbo","småhus","81-90 kvm","2023",322
"Håbo","småhus","81-90 kvm","2024",320
"Håbo","småhus","91-100 kvm","2013",465
"Håbo","småhus","91-100 kvm","2014",466
"Håbo","småhus","91-100 kvm","2015",468
"Håbo","småhus","91-100 kvm","2016",475
"Håbo","småhus","91-100 kvm","2017",479
"Håbo","småhus","91-100 kvm","2018",480
"Håbo","småhus","91-100 kvm","2019",482
"Håbo","småhus","91-100 kvm","2020",482
"Håbo","småhus","91-100 kvm","2021",480
"Håbo","småhus","91-100 kvm","2022",485
"Håbo","småhus","91-100 kvm","2023",483
"Håbo","småhus","91-100 kvm","2024",481
"Håbo","småhus","101-110 kvm","2013",578
"Håbo","småhus","101-110 kvm","2014",580
"Håbo","småhus","101-110 kvm","2015",585
"Håbo","småhus","101-110 kvm","2016",592
"Håbo","småhus","101-110 kvm","2017",595
"Håbo","småhus","101-110 kvm","2018",599
"Håbo","småhus","101-110 kvm","2019",621
"Håbo","småhus","101-110 kvm","2020",619
"Håbo","småhus","101-110 kvm","2021",638
"Håbo","småhus","101-110 kvm","2022",635
"Håbo","småhus","101-110 kvm","2023",633
"Håbo","småhus","101-110 kvm","2024",628
"Håbo","småhus","111-120 kvm","2013",1066
"Håbo","småhus","111-120 kvm","2014",1070
"Håbo","småhus","111-120 kvm","2015",1065
"Håbo","småhus","111-120 kvm","2016",1075
"Håbo","småhus","111-120 kvm","2017",1077
"Håbo","småhus","111-120 kvm","2018",1083
"Håbo","småhus","111-120 kvm","2019",1094
"Håbo","småhus","111-120 kvm","2020",1093
"Håbo","småhus","111-120 kvm","2021",1116
"Håbo","småhus","111-120 kvm","2022",1108
"Håbo","småhus","111-120 kvm","2023",1112
"Håbo","småhus","111-120 kvm","2024",1103
"Håbo","småhus","121-130 kvm","2013",487
"Håbo","småhus","121-130 kvm","2014",489
"Håbo","småhus","121-130 kvm","2015",486
"Håbo","småhus","121-130 kvm","2016",497
"Håbo","småhus","121-130 kvm","2017",499
"Håbo","småhus","121-130 kvm","2018",500
"Håbo","småhus","121-130 kvm","2019",497
"Håbo","småhus","121-130 kvm","2020",513
"Håbo","småhus","121-130 kvm","2021",513
"Håbo","småhus","121-130 kvm","2022",514
"Håbo","småhus","121-130 kvm","2023",514
"Håbo","småhus","121-130 kvm","2024",533
"Håbo","småhus","131-140 kvm","2013",582
"Håbo","småhus","131-140 kvm","2014",585
"Håbo","småhus","131-140 kvm","2015",595
"Håbo","småhus","131-140 kvm","2016",595
"Håbo","småhus","131-140 kvm","2017",597
"Håbo","småhus","131-140 kvm","2018",603
"Håbo","småhus","131-140 kvm","2019",605
"Håbo","småhus","131-140 kvm","2020",605
"Håbo","småhus","131-140 kvm","2021",606
"Håbo","småhus","131-140 kvm","2022",606
"Håbo","småhus","131-140 kvm","2023",603
"Håbo","småhus","131-140 kvm","2024",601
"Håbo","småhus","141-150 kvm","2013",527
"Håbo","småhus","141-150 kvm","2014",523
"Håbo","småhus","141-150 kvm","2015",525
"Håbo","småhus","141-150 kvm","2016",532
"Håbo","småhus","141-150 kvm","2017",534
"Håbo","småhus","141-150 kvm","2018",550
"Håbo","småhus","141-150 kvm","2019",553
"Håbo","småhus","141-150 kvm","2020",557
"Håbo","småhus","141-150 kvm","2021",558
"Håbo","småhus","141-150 kvm","2022",562
"Håbo","småhus","141-150 kvm","2023",561
"Håbo","småhus","141-150 kvm","2024",561
"Håbo","småhus","151-160 kvm","2013",270
"Håbo","småhus","151-160 kvm","2014",270
"Håbo","småhus","151-160 kvm","2015",272
"Håbo","småhus","151-160 kvm","2016",285
"Håbo","småhus","151-160 kvm","2017",343
"Håbo","småhus","151-160 kvm","2018",341
"Håbo","småhus","151-160 kvm","2019",340
"Håbo","småhus","151-160 kvm","2020",342
"Håbo","småhus","151-160 kvm","2021",341
"Håbo","småhus","151-160 kvm","2022",351
"Håbo","småhus","151-160 kvm","2023",353
"Håbo","småhus","151-160 kvm","2024",352
"Håbo","småhus","161-170 kvm","2013",209
"Håbo","småhus","161-170 kvm","2014",209
"Håbo","småhus","161-170 kvm","2015",213
"Håbo","småhus","161-170 kvm","2016",210
"Håbo","småhus","161-170 kvm","2017",214
"Håbo","småhus","161-170 kvm","2018",217
"Håbo","småhus","161-170 kvm","2019",219
"Håbo","småhus","161-170 kvm","2020",220
"Håbo","småhus","161-170 kvm","2021",216
"Håbo","småhus","161-170 kvm","2022",221
"Håbo","småhus","161-170 kvm","2023",221
"Håbo","småhus","161-170 kvm","2024",217
"Håbo","småhus","171-180 kvm","2013",220
"Håbo","småhus","171-180 kvm","2014",225
"Håbo","småhus","171-180 kvm","2015",226
"Håbo","småhus","171-180 kvm","2016",226
"Håbo","småhus","171-180 kvm","2017",229
"Håbo","småhus","171-180 kvm","2018",243
"Håbo","småhus","171-180 kvm","2019",241
"Håbo","småhus","171-180 kvm","2020",241
"Håbo","småhus","171-180 kvm","2021",247
"Håbo","småhus","171-180 kvm","2022",247
"Håbo","småhus","171-180 kvm","2023",247
"Håbo","småhus","171-180 kvm","2024",243
"Håbo","småhus","181-190 kvm","2013",88
"Håbo","småhus","181-190 kvm","2014",90
"Håbo","småhus","181-190 kvm","2015",92
"Håbo","småhus","181-190 kvm","2016",92
"Håbo","småhus","181-190 kvm","2017",91
"Håbo","småhus","181-190 kvm","2018",95
"Håbo","småhus","181-190 kvm","2019",94
"Håbo","småhus","181-190 kvm","2020",95
"Håbo","småhus","181-190 kvm","2021",96
"Håbo","småhus","181-190 kvm","2022",98
"Håbo","småhus","181-190 kvm","2023",98
"Håbo","småhus","181-190 kvm","2024",99
"Håbo","småhus","191-200 kvm","2013",90
"Håbo","småhus","191-200 kvm","2014",90
"Håbo","småhus","191-200 kvm","2015",90
"Håbo","småhus","191-200 kvm","2016",90
"Håbo","småhus","191-200 kvm","2017",91
"Håbo","småhus","191-200 kvm","2018",92
"Håbo","småhus","191-200 kvm","2019",92
"Håbo","småhus","191-200 kvm","2020",92
"Håbo","småhus","191-200 kvm","2021",91
"Håbo","småhus","191-200 kvm","2022",90
"Håbo","småhus","191-200 kvm","2023",90
"Håbo","småhus","191-200 kvm","2024",90
"Håbo","småhus","> 200 kvm","2013",98
"Håbo","småhus","> 200 kvm","2014",99
"Håbo","småhus","> 200 kvm","2015",100
"Håbo","småhus","> 200 kvm","2016",100
"Håbo","småhus","> 200 kvm","2017",102
"Håbo","småhus","> 200 kvm","2018",102
"Håbo","småhus","> 200 kvm","2019",103
"Håbo","småhus","> 200 kvm","2020",105
"Håbo","småhus","> 200 kvm","2021",108
"Håbo","småhus","> 200 kvm","2022",111
"Håbo","småhus","> 200 kvm","2023",109
"Håbo","småhus","> 200 kvm","2024",106
"Håbo","småhus","uppgift saknas","2013",0
"Håbo","småhus","uppgift saknas","2014",0
"Håbo","småhus","uppgift saknas","2015",0
"Håbo","småhus","uppgift saknas","2016",59
"Håbo","småhus","uppgift saknas","2017",59
"Håbo","småhus","uppgift saknas","2018",58
"Håbo","småhus","uppgift saknas","2019",58
"Håbo","småhus","uppgift saknas","2020",59
"Håbo","småhus","uppgift saknas","2021",61
"Håbo","småhus","uppgift saknas","2022",64
"Håbo","småhus","uppgift saknas","2023",63
"Håbo","småhus","uppgift saknas","2024",63
"Håbo","flerbostadshus","< 31 kvm","2013",24
"Håbo","flerbostadshus","< 31 kvm","2014",24
"Håbo","flerbostadshus","< 31 kvm","2015",24
"Håbo","flerbostadshus","< 31 kvm","2016",25
"Håbo","flerbostadshus","< 31 kvm","2017",25
"Håbo","flerbostadshus","< 31 kvm","2018",25
"Håbo","flerbostadshus","< 31 kvm","2019",39
"Håbo","flerbostadshus","< 31 kvm","2020",39
"Håbo","flerbostadshus","< 31 kvm","2021",45
"Håbo","flerbostadshus","< 31 kvm","2022",74
"Håbo","flerbostadshus","< 31 kvm","2023",120
"Håbo","flerbostadshus","< 31 kvm","2024",120
"Håbo","flerbostadshus","31-40 kvm","2013",161
"Håbo","flerbostadshus","31-40 kvm","2014",161
"Håbo","flerbostadshus","31-40 kvm","2015",161
"Håbo","flerbostadshus","31-40 kvm","2016",174
"Håbo","flerbostadshus","31-40 kvm","2017",174
"Håbo","flerbostadshus","31-40 kvm","2018",182
"Håbo","flerbostadshus","31-40 kvm","2019",210
"Håbo","flerbostadshus","31-40 kvm","2020",210
"Håbo","flerbostadshus","31-40 kvm","2021",234
"Håbo","flerbostadshus","31-40 kvm","2022",283
"Håbo","flerbostadshus","31-40 kvm","2023",330
"Håbo","flerbostadshus","31-40 kvm","2024",343
"Håbo","flerbostadshus","41-50 kvm","2013",194
"Håbo","flerbostadshus","41-50 kvm","2014",195
"Håbo","flerbostadshus","41-50 kvm","2015",195
"Håbo","flerbostadshus","41-50 kvm","2016",228
"Håbo","flerbostadshus","41-50 kvm","2017",228
"Håbo","flerbostadshus","41-50 kvm","2018",228
"Håbo","flerbostadshus","41-50 kvm","2019",256
"Håbo","flerbostadshus","41-50 kvm","2020",256
"Håbo","flerbostadshus","41-50 kvm","2021",258
"Håbo","flerbostadshus","41-50 kvm","2022",275
"Håbo","flerbostadshus","41-50 kvm","2023",275
"Håbo","flerbostadshus","41-50 kvm","2024",338
"Håbo","flerbostadshus","51-60 kvm","2013",380
"Håbo","flerbostadshus","51-60 kvm","2014",386
"Håbo","flerbostadshus","51-60 kvm","2015",386
"Håbo","flerbostadshus","51-60 kvm","2016",410
"Håbo","flerbostadshus","51-60 kvm","2017",410
"Håbo","flerbostadshus","51-60 kvm","2018",440
"Håbo","flerbostadshus","51-60 kvm","2019",486
"Håbo","flerbostadshus","51-60 kvm","2020",492
"Håbo","flerbostadshus","51-60 kvm","2021",541
"Håbo","flerbostadshus","51-60 kvm","2022",581
"Håbo","flerbostadshus","51-60 kvm","2023",603
"Håbo","flerbostadshus","51-60 kvm","2024",618
"Håbo","flerbostadshus","61-70 kvm","2013",453
"Håbo","flerbostadshus","61-70 kvm","2014",453
"Håbo","flerbostadshus","61-70 kvm","2015",453
"Håbo","flerbostadshus","61-70 kvm","2016",482
"Håbo","flerbostadshus","61-70 kvm","2017",482
"Håbo","flerbostadshus","61-70 kvm","2018",482
"Håbo","flerbostadshus","61-70 kvm","2019",566
"Håbo","flerbostadshus","61-70 kvm","2020",572
"Håbo","flerbostadshus","61-70 kvm","2021",580
"Håbo","flerbostadshus","61-70 kvm","2022",616
"Håbo","flerbostadshus","61-70 kvm","2023",642
"Håbo","flerbostadshus","61-70 kvm","2024",643
"Håbo","flerbostadshus","71-80 kvm","2013",286
"Håbo","flerbostadshus","71-80 kvm","2014",287
"Håbo","flerbostadshus","71-80 kvm","2015",287
"Håbo","flerbostadshus","71-80 kvm","2016",287
"Håbo","flerbostadshus","71-80 kvm","2017",287
"Håbo","flerbostadshus","71-80 kvm","2018",306
"Håbo","flerbostadshus","71-80 kvm","2019",352
"Håbo","flerbostadshus","71-80 kvm","2020",358
"Håbo","flerbostadshus","71-80 kvm","2021",389
"Håbo","flerbostadshus","71-80 kvm","2022",404
"Håbo","flerbostadshus","71-80 kvm","2023",449
"Håbo","flerbostadshus","71-80 kvm","2024",459
"Håbo","flerbostadshus","81-90 kvm","2013",353
"Håbo","flerbostadshus","81-90 kvm","2014",353
"Håbo","flerbostadshus","81-90 kvm","2015",353
"Håbo","flerbostadshus","81-90 kvm","2016",364
"Håbo","flerbostadshus","81-90 kvm","2017",364
"Håbo","flerbostadshus","81-90 kvm","2018",370
"Håbo","flerbostadshus","81-90 kvm","2019",370
"Håbo","flerbostadshus","81-90 kvm","2020",370
"Håbo","flerbostadshus","81-90 kvm","2021",399
"Håbo","flerbostadshus","81-90 kvm","2022",399
"Håbo","flerbostadshus","81-90 kvm","2023",399
"Håbo","flerbostadshus","81-90 kvm","2024",415
"Håbo","flerbostadshus","91-100 kvm","2013",142
"Håbo","flerbostadshus","91-100 kvm","2014",142
"Håbo","flerbostadshus","91-100 kvm","2015",142
"Håbo","flerbostadshus","91-100 kvm","2016",142
"Håbo","flerbostadshus","91-100 kvm","2017",142
"Håbo","flerbostadshus","91-100 kvm","2018",142
"Håbo","flerbostadshus","91-100 kvm","2019",143
"Håbo","flerbostadshus","91-100 kvm","2020",143
"Håbo","flerbostadshus","91-100 kvm","2021",149
"Håbo","flerbostadshus","91-100 kvm","2022",150
"Håbo","flerbostadshus","91-100 kvm","2023",150
"Håbo","flerbostadshus","91-100 kvm","2024",153
"Håbo","flerbostadshus","101-110 kvm","2013",90
"Håbo","flerbostadshus","101-110 kvm","2014",90
"Håbo","flerbostadshus","101-110 kvm","2015",90
"Håbo","flerbostadshus","101-110 kvm","2016",90
"Håbo","flerbostadshus","101-110 kvm","2017",90
"Håbo","flerbostadshus","101-110 kvm","2018",90
"Håbo","flerbostadshus","101-110 kvm","2019",90
"Håbo","flerbostadshus","101-110 kvm","2020",90
"Håbo","flerbostadshus","101-110 kvm","2021",102
"Håbo","flerbostadshus","101-110 kvm","2022",102
"Håbo","flerbostadshus","101-110 kvm","2023",102
"Håbo","flerbostadshus","101-110 kvm","2024",102
"Håbo","flerbostadshus","111-120 kvm","2013",18
"Håbo","flerbostadshus","111-120 kvm","2014",18
"Håbo","flerbostadshus","111-120 kvm","2015",18
"Håbo","flerbostadshus","111-120 kvm","2016",18
"Håbo","flerbostadshus","111-120 kvm","2017",18
"Håbo","flerbostadshus","111-120 kvm","2018",18
"Håbo","flerbostadshus","111-120 kvm","2019",18
"Håbo","flerbostadshus","111-120 kvm","2020",18
"Håbo","flerbostadshus","111-120 kvm","2021",19
"Håbo","flerbostadshus","111-120 kvm","2022",19
"Håbo","flerbostadshus","111-120 kvm","2023",19
"Håbo","flerbostadshus","111-120 kvm","2024",28
"Håbo","flerbostadshus","121-130 kvm","2013",3
"Håbo","flerbostadshus","121-130 kvm","2014",2
"Håbo","flerbostadshus","121-130 kvm","2015",2
"Håbo","flerbostadshus","121-130 kvm","2016",2
"Håbo","flerbostadshus","121-130 kvm","2017",2
"Håbo","flerbostadshus","121-130 kvm","2018",2
"Håbo","flerbostadshus","121-130 kvm","2019",2
"Håbo","flerbostadshus","121-130 kvm","2020",2
"Håbo","flerbostadshus","121-130 kvm","2021",2
"Håbo","flerbostadshus","121-130 kvm","2022",2
"Håbo","flerbostadshus","121-130 kvm","2023",2
"Håbo","flerbostadshus","121-130 kvm","2024",3
"Håbo","flerbostadshus","131-140 kvm","2013",5
"Håbo","flerbostadshus","131-140 kvm","2014",5
"Håbo","flerbostadshus","131-140 kvm","2015",5
"Håbo","flerbostadshus","131-140 kvm","2016",5
"Håbo","flerbostadshus","131-140 kvm","2017",5
"Håbo","flerbostadshus","131-140 kvm","2018",5
"Håbo","flerbostadshus","131-140 kvm","2019",5
"Håbo","flerbostadshus","131-140 kvm","2020",5
"Håbo","flerbostadshus","131-140 kvm","2021",5
"Håbo","flerbostadshus","131-140 kvm","2022",5
"Håbo","flerbostadshus","131-140 kvm","2023",5
"Håbo","flerbostadshus","131-140 kvm","2024",5
"Håbo","flerbostadshus","141-150 kvm","2013",2
"Håbo","flerbostadshus","141-150 kvm","2014",2
"Håbo","flerbostadshus","141-150 kvm","2015",2
"Håbo","flerbostadshus","141-150 kvm","2016",2
"Håbo","flerbostadshus","141-150 kvm","2017",2
"Håbo","flerbostadshus","141-150 kvm","2018",2
"Håbo","flerbostadshus","141-150 kvm","2019",2
"Håbo","flerbostadshus","141-150 kvm","2020",2
"Håbo","flerbostadshus","141-150 kvm","2021",2
"Håbo","flerbostadshus","141-150 kvm","2022",2
"Håbo","flerbostadshus","141-150 kvm","2023",2
"Håbo","flerbostadshus","141-150 kvm","2024",3
"Håbo","flerbostadshus","151-160 kvm","2013",0
"Håbo","flerbostadshus","151-160 kvm","2014",0
"Håbo","flerbostadshus","151-160 kvm","2015",0
"Håbo","flerbostadshus","151-160 kvm","2016",0
"Håbo","flerbostadshus","151-160 kvm","2017",0
"Håbo","flerbostadshus","151-160 kvm","2018",0
"Håbo","flerbostadshus","151-160 kvm","2019",0
"Håbo","flerbostadshus","151-160 kvm","2020",0
"Håbo","flerbostadshus","151-160 kvm","2021",0
"Håbo","flerbostadshus","151-160 kvm","2022",0
"Håbo","flerbostadshus","151-160 kvm","2023",0
"Håbo","flerbostadshus","151-160 kvm","2024",0
"Håbo","flerbostadshus","161-170 kvm","2013",0
"Håbo","flerbostadshus","161-170 kvm","2014",0
"Håbo","flerbostadshus","161-170 kvm","2015",0
"Håbo","flerbostadshus","161-170 kvm","2016",0
"Håbo","flerbostadshus","161-170 kvm","2017",0
"Håbo","flerbostadshus","161-170 kvm","2018",0
"Håbo","flerbostadshus","161-170 kvm","2019",0
"Håbo","flerbostadshus","161-170 kvm","2020",0
"Håbo","flerbostadshus","161-170 kvm","2021",0
"Håbo","flerbostadshus","161-170 kvm","2022",0
"Håbo","flerbostadshus","161-170 kvm","2023",0
"Håbo","flerbostadshus","161-170 kvm","2024",0
"Håbo","flerbostadshus","171-180 kvm","2013",0
"Håbo","flerbostadshus","171-180 kvm","2014",0
"Håbo","flerbostadshus","171-180 kvm","2015",0
"Håbo","flerbostadshus","171-180 kvm","2016",0
"Håbo","flerbostadshus","171-180 kvm","2017",0
"Håbo","flerbostadshus","171-180 kvm","2018",0
"Håbo","flerbostadshus","171-180 kvm","2019",0
"Håbo","flerbostadshus","171-180 kvm","2020",0
"Håbo","flerbostadshus","171-180 kvm","2021",0
"Håbo","flerbostadshus","171-180 kvm","2022",0
"Håbo","flerbostadshus","171-180 kvm","2023",0
"Håbo","flerbostadshus","171-180 kvm","2024",0
"Håbo","flerbostadshus","181-190 kvm","2013",0
"Håbo","flerbostadshus","181-190 kvm","2014",0
"Håbo","flerbostadshus","181-190 kvm","2015",0
"Håbo","flerbostadshus","181-190 kvm","2016",0
"Håbo","flerbostadshus","181-190 kvm","2017",0
"Håbo","flerbostadshus","181-190 kvm","2018",0
"Håbo","flerbostadshus","181-190 kvm","2019",0
"Håbo","flerbostadshus","181-190 kvm","2020",0
"Håbo","flerbostadshus","181-190 kvm","2021",0
"Håbo","flerbostadshus","181-190 kvm","2022",0
"Håbo","flerbostadshus","181-190 kvm","2023",0
"Håbo","flerbostadshus","181-190 kvm","2024",0
"Håbo","flerbostadshus","191-200 kvm","2013",1
"Håbo","flerbostadshus","191-200 kvm","2014",1
"Håbo","flerbostadshus","191-200 kvm","2015",1
"Håbo","flerbostadshus","191-200 kvm","2016",1
"Håbo","flerbostadshus","191-200 kvm","2017",1
"Håbo","flerbostadshus","191-200 kvm","2018",1
"Håbo","flerbostadshus","191-200 kvm","2019",1
"Håbo","flerbostadshus","191-200 kvm","2020",1
"Håbo","flerbostadshus","191-200 kvm","2021",1
"Håbo","flerbostadshus","191-200 kvm","2022",1
"Håbo","flerbostadshus","191-200 kvm","2023",1
"Håbo","flerbostadshus","191-200 kvm","2024",1
"Håbo","flerbostadshus","> 200 kvm","2013",1
"Håbo","flerbostadshus","> 200 kvm","2014",1
"Håbo","flerbostadshus","> 200 kvm","2015",1
"Håbo","flerbostadshus","> 200 kvm","2016",1
"Håbo","flerbostadshus","> 200 kvm","2017",1
"Håbo","flerbostadshus","> 200 kvm","2018",1
"Håbo","flerbostadshus","> 200 kvm","2019",1
"Håbo","flerbostadshus","> 200 kvm","2020",1
"Håbo","flerbostadshus","> 200 kvm","2021",1
"Håbo","flerbostadshus","> 200 kvm","2022",1
"Håbo","flerbostadshus","> 200 kvm","2023",1
"Håbo","flerbostadshus","> 200 kvm","2024",1
"Håbo","flerbostadshus","uppgift saknas","2013",0
"Håbo","flerbostadshus","uppgift saknas","2014",0
"Håbo","flerbostadshus","uppgift saknas","2015",0
"Håbo","flerbostadshus","uppgift saknas","2016",0
"Håbo","flerbostadshus","uppgift saknas","2017",0
"Håbo","flerbostadshus","uppgift saknas","2018",0
"Håbo","flerbostadshus","uppgift saknas","2019",0
"Håbo","flerbostadshus","uppgift saknas","2020",0
"Håbo","flerbostadshus","uppgift saknas","2021",0
"Håbo","flerbostadshus","uppgift saknas","2022",0
"Håbo","flerbostadshus","uppgift saknas","2023",0
"Håbo","flerbostadshus","uppgift saknas","2024",0
"Håbo","övriga hus","< 31 kvm","2013",2
"Håbo","övriga hus","< 31 kvm","2014",2
"Håbo","övriga hus","< 31 kvm","2015",2
"Håbo","övriga hus","< 31 kvm","2016",2
"Håbo","övriga hus","< 31 kvm","2017",1
"Håbo","övriga hus","< 31 kvm","2018",1
"Håbo","övriga hus","< 31 kvm","2019",1
"Håbo","övriga hus","< 31 kvm","2020",1
"Håbo","övriga hus","< 31 kvm","2021",1
"Håbo","övriga hus","< 31 kvm","2022",1
"Håbo","övriga hus","< 31 kvm","2023",1
"Håbo","övriga hus","< 31 kvm","2024",1
"Håbo","övriga hus","31-40 kvm","2013",20
"Håbo","övriga hus","31-40 kvm","2014",20
"Håbo","övriga hus","31-40 kvm","2015",20
"Håbo","övriga hus","31-40 kvm","2016",20
"Håbo","övriga hus","31-40 kvm","2017",20
"Håbo","övriga hus","31-40 kvm","2018",20
"Håbo","övriga hus","31-40 kvm","2019",20
"Håbo","övriga hus","31-40 kvm","2020",20
"Håbo","övriga hus","31-40 kvm","2021",20
"Håbo","övriga hus","31-40 kvm","2022",19
"Håbo","övriga hus","31-40 kvm","2023",18
"Håbo","övriga hus","31-40 kvm","2024",18
"Håbo","övriga hus","41-50 kvm","2013",13
"Håbo","övriga hus","41-50 kvm","2014",13
"Håbo","övriga hus","41-50 kvm","2015",13
"Håbo","övriga hus","41-50 kvm","2016",13
"Håbo","övriga hus","41-50 kvm","2017",13
"Håbo","övriga hus","41-50 kvm","2018",13
"Håbo","övriga hus","41-50 kvm","2019",13
"Håbo","övriga hus","41-50 kvm","2020",13
"Håbo","övriga hus","41-50 kvm","2021",12
"Håbo","övriga hus","41-50 kvm","2022",4
"Håbo","övriga hus","41-50 kvm","2023",4
"Håbo","övriga hus","41-50 kvm","2024",4
"Håbo","övriga hus","51-60 kvm","2013",1
"Håbo","övriga hus","51-60 kvm","2014",1
"Håbo","övriga hus","51-60 kvm","2015",1
"Håbo","övriga hus","51-60 kvm","2016",1
"Håbo","övriga hus","51-60 kvm","2017",1
"Håbo","övriga hus","51-60 kvm","2018",1
"Håbo","övriga hus","51-60 kvm","2019",3
"Håbo","övriga hus","51-60 kvm","2020",3
"Håbo","övriga hus","51-60 kvm","2021",3
"Håbo","övriga hus","51-60 kvm","2022",3
"Håbo","övriga hus","51-60 kvm","2023",3
"Håbo","övriga hus","51-60 kvm","2024",3
"Håbo","övriga hus","61-70 kvm","2013",5
"Håbo","övriga hus","61-70 kvm","2014",5
"Håbo","övriga hus","61-70 kvm","2015",7
"Håbo","övriga hus","61-70 kvm","2016",7
"Håbo","övriga hus","61-70 kvm","2017",8
"Håbo","övriga hus","61-70 kvm","2018",8
"Håbo","övriga hus","61-70 kvm","2019",8
"Håbo","övriga hus","61-70 kvm","2020",8
"Håbo","övriga hus","61-70 kvm","2021",6
"Håbo","övriga hus","61-70 kvm","2022",3
"Håbo","övriga hus","61-70 kvm","2023",3
"Håbo","övriga hus","61-70 kvm","2024",4
"Håbo","övriga hus","71-80 kvm","2013",3
"Håbo","övriga hus","71-80 kvm","2014",3
"Håbo","övriga hus","71-80 kvm","2015",5
"Håbo","övriga hus","71-80 kvm","2016",5
"Håbo","övriga hus","71-80 kvm","2017",7
"Håbo","övriga hus","71-80 kvm","2018",7
"Håbo","övriga hus","71-80 kvm","2019",7
"Håbo","övriga hus","71-80 kvm","2020",7
"Håbo","övriga hus","71-80 kvm","2021",5
"Håbo","övriga hus","71-80 kvm","2022",5
"Håbo","övriga hus","71-80 kvm","2023",5
"Håbo","övriga hus","71-80 kvm","2024",5
"Håbo","övriga hus","81-90 kvm","2013",1
"Håbo","övriga hus","81-90 kvm","2014",1
"Håbo","övriga hus","81-90 kvm","2015",1
"Håbo","övriga hus","81-90 kvm","2016",1
"Håbo","övriga hus","81-90 kvm","2017",1
"Håbo","övriga hus","81-90 kvm","2018",1
